file_name,permission,status,info
oracle.idm.mobile.authenticator,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
oracle.idm.mobile.authenticator,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
oracle.idm.mobile.authenticator,android.permission.ACCESS_NETWORK_STATE,normal,view network status
oracle.idm.mobile.authenticator,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
oracle.idm.mobile.authenticator,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
oracle.idm.mobile.authenticator,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
wibmo.com.wibmoAuthApp,android.permission.INTERNET,normal,full Internet access
wibmo.com.wibmoAuthApp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
wibmo.com.wibmoAuthApp,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
wibmo.com.wibmoAuthApp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
wibmo.com.wibmoAuthApp,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
wibmo.com.wibmoAuthApp,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
wibmo.com.wibmoAuthApp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
wibmo.com.wibmoAuthApp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
wibmo.com.wibmoAuthApp,wibmo.com.wibmoAuthApp.permission.C2D_MESSAGE,unknown,Unknown permission
com.forgerock.authenticator,android.permission.CAMERA,dangerous,take pictures and videos
com.forgerock.authenticator,android.permission.INTERNET,normal,full Internet access
com.forgerock.authenticator,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.forgerock.authenticator,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.forgerock.authenticator,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.forgerock.authenticator,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.stove.otp.google.android,android.permission.INTERNET,normal,full Internet access
com.stove.otp.google.android,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.stove.otp.google.android,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.stove.otp.google.android,android.permission.REORDER_TASKS,normal,reorder applications running
com.stove.otp.google.android,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.stove.otp.google.android,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.stove.otp.google.android,com.stove.otp.google.android.permission.C2D_MESSAGE,unknown,Unknown permission
com.stove.otp.google.android,android.permission.VIBRATE,normal,control vibrator
com.stove.otp.google.android,android.permission.USE_CREDENTIALS,dangerous,use the authentication credentials of an account
com.stove.otp.google.android,android.permission.AUTHENTICATE_ACCOUNTS,dangerous,act as an account authenticator
com.stove.otp.google.android,android.permission.NFC,normal,control Near-Field Communication
com.stove.otp.google.android,android.permission.CAMERA,dangerous,take pictures and videos
com.ocb.iotp,android.permission.INTERNET,normal,full Internet access
com.ocb.iotp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.ocb.iotp,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.ocb.iotp,android.Manifest.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.ocb.iotp,android.permission.USE_BIOMETRIC,normal,
com.ocb.iotp,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.ocb.iotp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.ocb.iotp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.ocb.iotp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.ocb.iotp,android.permission.FOREGROUND_SERVICE,normal,
com.ocb.iotp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.mds.canarabankapp,android.permission.CAMERA,dangerous,take pictures and videos
com.mds.canarabankapp,android.permission.INTERNET,normal,full Internet access
com.mds.canarabankapp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.mds.canarabankapp,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.mds.canarabankapp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.mds.canarabankapp,android.permission.NFC,normal,control Near-Field Communication
com.mds.canarabankapp,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.kmcert.myotp,android.permission.GET_TASKS,dangerous,retrieve running applications
com.kmcert.myotp,android.permission.VIBRATE,normal,control vibrator
com.kmcert.myotp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.kmcert.myotp,android.permission.INTERNET,normal,full Internet access
com.kmcert.myotp,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.kmcert.myotp,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.kmcert.myotp,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
com.kmcert.myotp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.kmcert.myotp,android.permission.CHANGE_NETWORK_STATE,normal,change network connectivity
com.kmcert.myotp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.kmcert.myotp,android.permission.USE_FULL_SCREEN_INTENT,normal,
com.kmcert.myotp,android.permission.REQUEST_DELETE_PACKAGES,normal,
com.kmcert.myotp,android.permission.FOREGROUND_SERVICE,normal,
com.kmcert.myotp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.kmcert.myotp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
cy.nbg.nbgcyotp,android.permission.VIBRATE,normal,control vibrator
cy.nbg.nbgcyotp,android.permission.INTERNET,normal,full Internet access
cy.nbg.nbgcyotp,android.permission.USE_BIOMETRIC,normal,
cy.nbg.nbgcyotp,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
cy.nbg.nbgcyotp,android.permission.CAMERA,dangerous,take pictures and videos
cy.nbg.nbgcyotp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
cy.nbg.nbgcyotp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
cy.nbg.nbgcyotp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
cy.nbg.nbgcyotp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
club.nagavip.otp,android.permission.INTERNET,normal,full Internet access
club.nagavip.otp,android.permission.SYSTEM_ALERT_WINDOW,dangerous,display system-level alerts
club.nagavip.otp,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
club.nagavip.otp,club.nagavip.otp.permission.C2D_MESSAGE,unknown,Unknown permission
club.nagavip.otp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
club.nagavip.otp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
club.nagavip.otp,android.permission.VIBRATE,normal,control vibrator
club.nagavip.otp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
club.nagavip.otp,android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot
club.nagavip.otp,com.sec.android.provider.badge.permission.READ,unknown,Unknown permission
club.nagavip.otp,com.sec.android.provider.badge.permission.WRITE,unknown,Unknown permission
club.nagavip.otp,com.htc.launcher.permission.READ_SETTINGS,unknown,Unknown permission
club.nagavip.otp,com.htc.launcher.permission.UPDATE_SHORTCUT,unknown,Unknown permission
club.nagavip.otp,com.sonyericsson.home.permission.BROADCAST_BADGE,unknown,Unknown permission
club.nagavip.otp,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,unknown,Unknown permission
club.nagavip.otp,com.anddoes.launcher.permission.UPDATE_COUNT,unknown,Unknown permission
club.nagavip.otp,com.majeur.launcher.permission.UPDATE_BADGE,unknown,Unknown permission
club.nagavip.otp,com.huawei.android.launcher.permission.CHANGE_BADGE,unknown,Unknown permission
club.nagavip.otp,com.huawei.android.launcher.permission.READ_SETTINGS,unknown,Unknown permission
club.nagavip.otp,com.huawei.android.launcher.permission.WRITE_SETTINGS,unknown,Unknown permission
club.nagavip.otp,android.permission.READ_APP_BADGE,unknown,Unknown permission
club.nagavip.otp,com.oppo.launcher.permission.READ_SETTINGS,unknown,Unknown permission
club.nagavip.otp,com.oppo.launcher.permission.WRITE_SETTINGS,unknown,Unknown permission
club.nagavip.otp,me.everything.badger.permission.BADGE_COUNT_READ,unknown,Unknown permission
club.nagavip.otp,me.everything.badger.permission.BADGE_COUNT_WRITE,unknown,Unknown permission
club.nagavip.otp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.ADIBSDIGIPASS,android.permission.CAMERA,dangerous,take pictures and videos
com.ADIBSDIGIPASS,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
com.ADIBSDIGIPASS,android.permission.INTERNET,normal,full Internet access
com.ADIBSDIGIPASS,android.permission.VIBRATE,normal,control vibrator
com.ADIBSDIGIPASS,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,unknown,Unknown permission
com.ADIBSDIGIPASS,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.ADIBSDIGIPASS,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.yubico.yubioath,android.permission.CAMERA,dangerous,take pictures and videos
com.yubico.yubioath,android.permission.NFC,normal,control Near-Field Communication
org.kamrul.android.myauth,android.permission.CAMERA,dangerous,take pictures and videos
org.kamrul.android.myauth,android.permission.INTERNET,normal,full Internet access
org.kamrul.android.myauth,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
tdb.otp,android.permission.INTERNET,normal,full Internet access
tdb.otp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.GlowOTP,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.GlowOTP,android.permission.CAMERA,dangerous,take pictures and videos
com.GlowOTP,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
com.GlowOTP,android.permission.INTERNET,normal,full Internet access
com.GlowOTP,android.permission.VIBRATE,normal,control vibrator
com.GlowOTP,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,unknown,Unknown permission
com.GlowOTP,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.GlowOTP,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.sgn.secureguardotp,android.permission.INTERNET,normal,full Internet access
com.sgn.secureguardotp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.sgn.secureguardotp,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.sgn.secureguardotp,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
com.sgn.secureguardotp,android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location
com.sgn.secureguardotp,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.sgn.secureguardotp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.sgn.secureguardotp,android.permission.RESTART_PACKAGES,normal,kill background processes
com.sgn.secureguardotp,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.sgn.secureguardotp,android.permission.USE_BIOMETRIC,normal,
it.company.sielte,android.permission.ACCESS_NETWORK_STATE,normal,view network status
it.company.sielte,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
it.company.sielte,android.permission.CAMERA,dangerous,take pictures and videos
it.company.sielte,android.permission.FLASHLIGHT,normal,control flashlight
it.company.sielte,android.permission.INTERNET,normal,full Internet access
it.company.sielte,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
it.company.sielte,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,unknown,Unknown permission
it.company.sielte,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
it.company.sielte,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
it.company.sielte,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
it.company.sielte,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
it.company.sielte,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.arcot.otp1,android.permission.INTERNET,normal,full Internet access
com.arcot.otp1,android.permission.READ_LOGS,dangerous,read sensitive log data
com.arcot.otp1,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.arcot.otp1,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.arcot.otp1,android.permission.CAMERA,dangerous,take pictures and videos
com.arcot.otp1,android.permission.VIBRATE,normal,control vibrator
com.arcot.otp1,android.permission.FLASHLIGHT,normal,control flashlight
com.arcot.otp1,com.android.browser.permission.READ_HISTORY_BOOKMARKS,unknown,Unknown permission
com.arcot.otp1,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.arcot.otp1,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
com.arcot.otp1,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
sg.worktable.pingoauth,android.permission.CAMERA,dangerous,take pictures and videos
sg.worktable.pingoauth,android.permission.USE_BIOMETRIC,normal,
sg.worktable.pingoauth,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
sg.worktable.pingoauth,android.permission.INTERNET,normal,full Internet access
sg.worktable.pingoauth,android.permission.ACCESS_NETWORK_STATE,normal,view network status
sg.worktable.pingoauth,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
sg.worktable.pingoauth,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
sg.worktable.pingoauth,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.gemalto.idprove,android.permission.CAMERA,dangerous,take pictures and videos
com.gemalto.idprove,android.permission.FLASHLIGHT,normal,control flashlight
com.gemalto.idprove,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.gemalto.idprove,android.permission.INTERNET,normal,full Internet access
com.gemalto.idprove,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.gemalto.idprove,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
vn.mk.token.baseotp,android.permission.USE_BIOMETRIC,normal,
vn.mk.token.baseotp,android.permission.CAMERA,dangerous,take pictures and videos
vn.mk.token.baseotp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
vn.mk.token.baseotp,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
vn.mk.token.baseotp,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
vn.mk.token.baseotp,android.permission.INTERNET,normal,full Internet access
vn.mk.token.baseotp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
vn.mk.token.baseotp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
vn.mk.token.baseotp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.zenithbank.zenithetoken,android.permission.INTERNET,normal,full Internet access
com.zenithbank.zenithetoken,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.zenithbank.zenithetoken,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.zenithbank.zenithetoken,android.permission.VIBRATE,normal,control vibrator
com.net2recharge.otp,android.permission.VIBRATE,normal,control vibrator
com.net2recharge.otp,android.permission.INTERNET,normal,full Internet access
com.net2recharge.otp,android.permission.CAMERA,dangerous,take pictures and videos
com.novoload.otp,android.permission.VIBRATE,normal,control vibrator
com.novoload.otp,android.permission.INTERNET,normal,full Internet access
com.novoload.otp,android.permission.CAMERA,dangerous,take pictures and videos
com.aircuve.aircuvemobile,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.aircuve.aircuvemobile,android.permission.VIBRATE,normal,control vibrator
com.aircuve.aircuvemobile,android.permission.CAMERA,dangerous,take pictures and videos
com.aircuve.aircuvemobile,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.aircuve.aircuvemobile,android.permission.INTERNET,normal,full Internet access
com.aircuve.aircuvemobile,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.aircuve.aircuvemobile,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.aircuve.aircuvemobile,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.pentasecurity.isignplus.mobileotp,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.pentasecurity.isignplus.mobileotp,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,unknown,Unknown permission
com.pentasecurity.isignplus.mobileotp,android.permission.VIBRATE,normal,control vibrator
ar.gob.afip.mobile.android.internal.seginfo,android.permission.CAMERA,dangerous,take pictures and videos
ar.gob.afip.mobile.android.internal.seginfo,android.permission.INTERNET,normal,full Internet access
two.factor.secure.otp.authentication,android.permission.INTERNET,normal,full Internet access
two.factor.secure.otp.authentication,android.permission.ACCESS_NETWORK_STATE,normal,view network status
two.factor.secure.otp.authentication,android.permission.CAMERA,dangerous,take pictures and videos
two.factor.secure.otp.authentication,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.goldtime.authy,android.permission.INTERNET,normal,full Internet access
com.goldtime.authy,android.permission.CAMERA,dangerous,take pictures and videos
com.goldtime.authy,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.goldtime.authy,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
org.fedorahosted.freeotp,android.permission.CAMERA,dangerous,take pictures and videos
org.fedorahosted.freeotp,android.permission.INTERNET,normal,full Internet access
org.fedorahosted.freeotp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.beemdevelopment.aegis,android.permission.CAMERA,dangerous,take pictures and videos
com.beemdevelopment.aegis,android.permission.USE_BIOMETRIC,normal,
com.beemdevelopment.aegis,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.inwebo.authenticator,android.permission.CAMERA,dangerous,take pictures and videos
com.inwebo.authenticator,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.inwebo.authenticator,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.inwebo.authenticator,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.inwebo.authenticator,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.inwebo.authenticator,android.permission.USE_BIOMETRIC,normal,
com.inwebo.authenticator,android.permission.INTERNET,normal,full Internet access
com.inwebo.authenticator,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.inwebo.authenticator,android.permission.VIBRATE,normal,control vibrator
com.inwebo.authenticator,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.inwebo.authenticator,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.inwebo.authenticator,com.inwebo.authenticator.permission.C2D_MESSAGE,unknown,Unknown permission
com.trumotp.club,android.permission.INTERNET,normal,full Internet access
com.trumotp.club,android.permission.CHANGE_NETWORK_STATE,normal,change network connectivity
com.trumotp.club,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
com.trumotp.club,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.trumotp.club,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.trumotp.club,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,dangerous,mount and unmount file systems
com.trumotp.club,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.lenovo.otp,android.permission.INTERNET,normal,full Internet access
com.lenovo.otp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.lenovo.otp,android.permission.CAMERA,dangerous,take pictures and videos
com.lenovo.otp,android.permission.VIBRATE,normal,control vibrator
com.lenovo.otp,android.permission.REQUEST_INSTALL_PACKAGES,dangerous,Allows an application to request installing packages.
hr.asseco.android.intesa.isbd.alex,android.permission.INTERNET,normal,full Internet access
hr.asseco.android.intesa.isbd.alex,android.permission.ACCESS_NETWORK_STATE,normal,view network status
hr.asseco.android.intesa.isbd.alex,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
hr.asseco.android.intesa.isbd.alex,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
hr.asseco.android.intesa.isbd.alex,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
hr.asseco.android.intesa.isbd.alex,com.google.android.providers.gsf.permission.READ_GSERVICES,unknown,Unknown permission
hr.asseco.android.intesa.isbd.alex,android.permission.VIBRATE,normal,control vibrator
hr.asseco.android.intesa.isbd.alex,android.permission.SYSTEM_ALERT_WINDOW,dangerous,display system-level alerts
hr.asseco.android.intesa.isbd.alex,android.permission.MODIFY_AUDIO_SETTINGS,normal,change your audio settings
hr.asseco.android.intesa.isbd.alex,android.permission.RECORD_AUDIO,dangerous,record audio
hr.asseco.android.intesa.isbd.alex,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,unknown,Unknown permission
hr.asseco.android.intesa.isbd.alex,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
hr.asseco.android.intesa.isbd.alex,android.permission.CAMERA,dangerous,take pictures and videos
hr.asseco.android.intesa.isbd.alex,android.permission.FLASHLIGHT,normal,control flashlight
hr.asseco.android.intesa.isbd.alex,android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location
hr.asseco.android.intesa.isbd.alex,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
hr.asseco.android.intesa.isbd.alex,android.permission.READ_CONTACTS,dangerous,read contact data
hr.asseco.android.intesa.isbd.alex,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
hr.asseco.android.intesa.isbd.alex,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
hr.asseco.android.intesa.isbd.alex,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
hr.asseco.android.intesa.isbd.alex,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
hr.asseco.android.intesa.isbd.alex,android.permission.BLUETOOTH,normal,create Bluetooth connections
hr.asseco.android.intesa.isbd.alex,com.google.android.c2dm.intent.RECEIVE,signature,C2DM permissions
vn.com.eximbank.softotp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
vn.com.eximbank.softotp,android.permission.INTERNET,normal,full Internet access
vn.com.eximbank.softotp,android.permission.CAMERA,dangerous,take pictures and videos
vn.com.eximbank.softotp,android.permission.sec.OTP_PROVISION,unknown,Unknown permission
vn.com.eximbank.softotp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
vn.com.eximbank.softotp,android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot
vn.com.eximbank.softotp,android.permission.FOREGROUND_SERVICE,normal,
vn.com.eximbank.softotp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
vn.com.eximbank.softotp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.sgn.sgotp.lotte,android.permission.INTERNET,normal,full Internet access
com.sgn.sgotp.lotte,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.sgn.sgotp.lotte,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.sgn.sgotp.lotte,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
com.sgn.sgotp.lotte,android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location
com.sgn.sgotp.lotte,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.sgn.sgotp.lotte,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
netinfo.eu.symantec,android.permission.INTERNET,normal,full Internet access
netinfo.eu.symantec,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
netinfo.eu.symantec,android.permission.ACCESS_NETWORK_STATE,normal,view network status
netinfo.eu.symantec,android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot
netinfo.eu.symantec,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
netinfo.eu.symantec,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
netinfo.eu.symantec,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.halcom.ng.mobile.puppaltr,android.permission.CAMERA,dangerous,take pictures and videos
com.halcom.ng.mobile.puppaltr,android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location
com.halcom.ng.mobile.puppaltr,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
com.halcom.ng.mobile.puppaltr,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.halcom.ng.mobile.puppaltr,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
