file_name,classes,component
com.techcombank.stk.corp.apk,obfuscator,['Gemalto']
com.techcombank.stk.corp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.techcombank.stk.corp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'subscriber ID check']"
com.techcombank.stk.corp.apk,obfuscator,"['unreadable field names', 'unreadable method names']"
eu.netinfo.cdb.otp.apk,anti_vm,['Build.MANUFACTURER check']
com.bitrixsoft.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.bitrixsoft.otp.apk,manipulator,['dexmerge']
org.juanjcsr.newcloudotp.apk,anti_vm,"['Build.FINGERPRINT check', 'possible Build.SERIAL check']"
com.square_enix_software_token.apk,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.trumotp.club.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check', 'possible VM check']"
com.trumotp.club.apk,manipulator,['dexmerge']
com.gemalto.idprove.apk,anti_vm,"['possible Build.SERIAL check', 'Build.TAGS check', 'subscriber ID check']"
com.ncb.bank.otp.apk,anti_vm,"['Build.MANUFACTURER check', 'Build.TAGS check', 'possible ro.secure check']"
org.cry.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
me.jmh.authenticatorpro.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible VM check']"
wibmo.com.wibmoAuthApp.apk,anti_debug,['Debug.isDebuggerConnected() check']
wibmo.com.wibmoAuthApp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible ro.secure check', 'possible VM check']"
vn.com.bidv.softotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
vn.com.bidv.softotp.apk,anti_disassembly,['illegal class name']
vn.com.bidv.softotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
vn.com.bidv.softotp.apk,obfuscator,['DexGuard']
it.company.sielte.apk,anti_vm,"['Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible VM check']"
com.u2fa.secur.apk,anti_vm,['Build.MANUFACTURER check']
eu.sia.siaotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
nh.smart.signone.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'SIM operator check', 'network operator name check', 'subscriber ID check']"
nh.smart.signone.apk,obfuscator,['unreadable field names']
nh.smart.signone.apk,anti_debug,['Debug.isDebuggerConnected() check']
nh.smart.signone.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'subscriber ID check', 'possible VM check']"
nh.smart.signone.apk,obfuscator,"['unreadable field names', 'unreadable method names']"
com.isprint.SWIFTToken.apk,anti_vm,['emulator file check']
com.vn.vib.smeotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.vn.vib.smeotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
org.fedorahosted.freeotp.apk,manipulator,['dexmerge']
sk.otp.viamo.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
com.sbi.SBISecure.apk,packer,['Kony']
com.sbi.SBISecure.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check', 'possible ro.secure check']"
com.sbi.SBISecure.apk,obfuscator,"['unreadable field names', 'unreadable method names']"
com.sbi.SBISecure.apk,obfuscator,['Arxan']
tm.asmanoky.otp.apk,anti_debug,['Debug.isDebuggerConnected() check']
tm.asmanoky.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
no.SpareBank1.MobileOTP.apk,obfuscator,['Obfuscator-LLVM version 3.5']
no.SpareBank1.MobileOTP.apk,anti_debug,['Debug.isDebuggerConnected() check']
no.SpareBank1.MobileOTP.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
no.SpareBank1.MobileOTP.apk,obfuscator,"['Gemalto', 'unreadable field names', 'unreadable method names']"
at.tugraz.iaik.signapp.apk,anti_debug,['Debug.isDebuggerConnected() check']
at.tugraz.iaik.signapp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.ca.sec.aa.authenticator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.ncs.secureconnect.otp.apk,manipulator,['dexmerge']
com.ftsafe.otp.activity.apk,packer,"[""Tencent's Legu""]"
com.ftsafe.otp.activity.apk,anti_disassembly,"['non-zero link size', 'non-zero link offset']"
com.ftsafe.otp.activity.apk,packer,['Mobile Tencent Protect']
kr.kjun.NaverSetup.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.DEVICE check', 'Build.PRODUCT check']"
iSec.Authenticator.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'network operator name check']"
com.ws.a.otp.apk,manipulator,['dexmerge']
ro.len.mobile.apk,anti_debug,['Debug.isDebuggerConnected() check']
ro.len.mobile.apk,manipulator,['dexmerge']
com.protectimus.android.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.protectimus.android.apk,anti_vm,['Build.FINGERPRINT check']
com.systemat.SeeZam_OTP.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.systemat.SeeZam_OTP.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
com.kmcert.myotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'possible VM check']"
com.kmcert.myotp.apk,manipulator,['dexmerge']
com.kmcert.myotp.apk,anti_vm,['possible VM check']
com.mobilians.motp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.mobilians.motp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check']"
org.shadowice.flocke.andotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.arcot.otp1.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible VM check']"
teakwang.tsis.motp.apk,anti_vm,"['Build.TAGS check', 'possible ro.secure check']"
com.jeptoken.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
ar.gob.afip.mobile.android.internal.seginfo.apk,anti_debug,['Debug.isDebuggerConnected() check']
ar.gob.afip.mobile.android.internal.seginfo.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
com.ADIBSDIGIPASS.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.pentasecurity.isignplus.mobileotp.apk,anti_vm,['Build.MANUFACTURER check']
com.gstotpauthenticator.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.gstotpauthenticator.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
com.Sigma.apk,manipulator,['dexmerge']
de.otp.main.apk,anti_vm,['Build.FINGERPRINT check']
org.liberty.android.freeotpplus.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
vn.funtap.smartotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.TAGS check']"
vn.funtap.smartotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check']"
com.beemdevelopment.aegis.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
ua.com.cs.ifobs.mobile.android.otp.apk,anti_vm,['Build.MANUFACTURER check']
ua.com.cs.ifobs.mobile.android.otp.apk,obfuscator,['DexGuard']
ua.com.cs.ifobs.mobile.android.otp.apk,anti_debug,['Debug.isDebuggerConnected() check']
ua.com.cs.ifobs.mobile.android.otp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.khla.otpapp.callhttpclient.apk,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
org.kamrul.android.myauth.apk,anti_vm,['Build.MANUFACTURER check']
otl.snkl.HDFCSnorkelOTP.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check']"
com.mds.canarabankapp.apk,anti_vm,['Build.TAGS check']
com.pvcombank.smartotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'device ID check', 'subscriber ID check', 'ro.hardware check', 'ro.product.device check', 'ro.kernel.qemu check', 'emulator file check', 'possible VM check']"
eu.netinfo.bcb.otp.apk,anti_vm,['Build.MANUFACTURER check']
com.entrust.identityGuard.mobile.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible ro.secure check']"
com.stove.otp.google.android.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
com.FAISATOKEN.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.sophos.sophtoken.apk,anti_vm,"['Build.HARDWARE check', 'Build.TAGS check']"
com.BANKABC.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.pozitron.qib.apk,packer,['DexProtector']
com.pozitron.qib.apk,anti_vm,"['Build.FINGERPRINT check', 'possible Build.SERIAL check']"
com.pozitron.qib.apk,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.pozitron.qib.apk,anti_vm,['Build.MANUFACTURER check']
com.pozitron.qib.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.mdmobiasbancadigipass.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.vpbank.vpbanksmartotp.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.vpbank.vpbanksmartotp.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
com.changingtec.motp.pro.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.changingtec.motp.pro.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'Build.TAGS check']"
com.pacifico.pacificid.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.BRAND check', 'Build.DEVICE check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check']"
com.pacifico.pacificid.apk,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.andxor.mobile.jsotp.piteco.apk,anti_debug,['Debug.isDebuggerConnected() check']
com.andxor.mobile.jsotp.piteco.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']"
com.andxor.mobile.jsotp.piteco.apk,manipulator,['dexmerge']
vn.com.eximbank.softotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check']"
vn.com.eximbank.softotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'Build.TAGS check', 'possible ro.secure check']"
com.aircuve.airotp.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check']"
com.kienlongbank.etoken.apk,anti_disassembly,['illegal class name']
com.kienlongbank.etoken.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'network operator name check', 'possible ro.secure check']"
hr.asseco.android.intesa.isbd.alex.apk,anti_debug,['Debug.isDebuggerConnected() check']
hr.asseco.android.intesa.isbd.alex.apk,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
