app_name,class_dex,types,matches
com.egypt.ais.masriacard.mcmotp.apk,classes.dex,anti_vm,"['Build.HARDWARE check', 'Build.TAGS check']"
com.egypt.ais.masriacard.mcmotp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.dreammirae.otp.android.mirae.multiid.market.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.dreammirae.otp.android.mirae.multiid.market.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'Build.TAGS check']"
com.dreammirae.otp.android.mirae.multiid.market.apk,classes.dex,compiler,['r8']
token.security.m2m.com.generateotp.apk,classes.dex,compiler,['dx (possible dexmerge)']
token.security.m2m.com.generateotp.apk,classes.dex,manipulator,['dexmerge']
com.deepnet.andmob5.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.deepnet.andmob5.apk,classes.dex,compiler,['r8']
com.deepnet.andmob5.apk,classes2.dex,compiler,['dx']
com.deepnet.andmob5.apk,res/raw/android_wear_micro_apk.apk!classes.dex,compiler,['r8']
hr.asseco.android.jimba.otpretailng.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
hr.asseco.android.jimba.otpretailng.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
hr.asseco.android.jimba.otpretailng.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.mts.opt2.apk,classes.dex,compiler,['r8']
com.inwebo.authenticator.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.inwebo.authenticator.apk,classes.dex,compiler,['dx']
net.secuwiz.prudentialotp.apk,classes.dex,compiler,['r8 without marker (suspicious)']
netinfo.eu.symantec.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
netinfo.eu.symantec.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'ro.hardware check', 'ro.kernel.qemu check', 'possible ro.secure check', 'possible VM check']"
netinfo.eu.symantec.apk,classes.dex,compiler,['r8 without marker (suspicious)']
netinfo.eu.symantec.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
br.com.powersoftware.otpsafe.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
br.com.powersoftware.otpsafe.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']"
br.com.powersoftware.otpsafe.apk,classes.dex,compiler,['r8']
com.canopus.otpmacgenerator.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check']"
com.canopus.otpmacgenerator.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.canopus.otpmacgenerator.apk,classes.dex,manipulator,['dexmerge']
hr.asseco.android.mtoken.ht.test.apk,classes.dex,compiler,['dx']
com.dreammirae.otp.android.mirae.apk,classes.dex,compiler,['dx']
it.aruba.pec.mobile.otpfvg.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
it.aruba.pec.mobile.otpfvg.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
it.aruba.pec.mobile.otpfvg.apk,classes.dex,compiler,['r8']
com.feelanet.artstrongid.sec.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.feelanet.artstrongid.sec.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible VM check']"
com.feelanet.artstrongid.sec.apk,classes.dex,compiler,['r8']
com.aircuve.aircuvemobile.apk,classes.dex,anti_disassembly,['illegal class name']
com.aircuve.aircuvemobile.apk,classes.dex,anti_vm,"['possible Build.SERIAL check', 'Build.TAGS check', 'possible ro.secure check']"
com.aircuve.aircuvemobile.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.aircuve.aircuvemobile.apk,classes.dex,obfuscator,['DexGuard']
com.nhn.hangameotp.apk,,packer,['AppGuard (TOAST-NHNent)']
com.nhn.hangameotp.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'SIM operator check', 'network operator name check']"
com.nhn.hangameotp.apk,classes.dex,compiler,['dexlib 2.x']
it.aruba.pec.mobile.otp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
it.aruba.pec.mobile.otp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
it.aruba.pec.mobile.otp.apk,classes.dex,compiler,['r8']
com.bankofamerica.authenticator.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.bankofamerica.authenticator.apk,classes.dex,compiler,['r8']
com.novoload.otp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.novoload.otp.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
com.novoload.otp.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.portwise.mid.clients.android.apk,classes.dex,compiler,['r8']
io.faceotp.faceotp.apk,assets/audience_network.dex,anti_debug,['Debug.isDebuggerConnected() check']
io.faceotp.faceotp.apk,assets/audience_network.dex,anti_vm,['possible Build.SERIAL check']
io.faceotp.faceotp.apk,assets/audience_network.dex,compiler,['unknown (please file detection issue!)']
io.faceotp.faceotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
io.faceotp.faceotp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.atsolution.android.uotp2.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.namirial.android.virtualotp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.namirial.android.virtualotp.apk,classes.dex,anti_disassembly,['illegal class name']
com.namirial.android.virtualotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible VM check']"
com.namirial.android.virtualotp.apk,classes.dex,compiler,['r8']
com.namirial.android.virtualotp.apk,classes.dex,obfuscator,['DexGuard']
com.mollatech.android.apps.authenticators.apk,classes.dex,compiler,['r8']
com.bncr.detectid_otp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.bncr.detectid_otp.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
com.bncr.detectid_otp.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.bncr.detectid_otp.apk,classes2.dex,anti_vm,['Build.MODEL check']
com.bncr.detectid_otp.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
it.previnet.authenticator.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
it.previnet.authenticator.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
it.previnet.authenticator.apk,classes.dex,compiler,['r8']
com.rcdevs.auth.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible VM check']"
com.rcdevs.auth.apk,classes.dex,compiler,['r8']
com.sgn.sgotp.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'network interface name check']"
com.sgn.sgotp.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.sgn.sgotp.apk,classes.dex,manipulator,['dexmerge']
kr.co.neople.neopleotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.BRAND check', 'Build.DEVICE check', 'Build.PRODUCT check', 'network operator name check', 'possible VM check']"
kr.co.neople.neopleotp.apk,classes.dex,compiler,['r8']
kr.co.neople.neopleotp.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
kr.co.neople.neopleotp.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
kr.co.neople.neopleotp.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
eu.netinfo.netteller.cqur.motp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
eu.netinfo.netteller.cqur.motp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
eu.netinfo.netteller.cqur.motp.apk,classes.dex,compiler,['r8']
club.nagavip.otp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
club.nagavip.otp.apk,classes.dex,compiler,['r8']
ngn.com.vn.totp.apk,classes.dex,compiler,['dx (possible dexmerge)']
ngn.com.vn.totp.apk,classes.dex,manipulator,['dexmerge']
com.halcom.ng.mobile.puppaltr.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.halcom.ng.mobile.puppaltr.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']"
com.halcom.ng.mobile.puppaltr.apk,classes.dex,compiler,['dx']
com.halcom.ng.mobile.puppaltr.apk,classes.dex,obfuscator,['DexGuard']
com.halcom.ng.mobile.puppaltr.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.halcom.ng.mobile.puppaltr.apk,classes2.dex,anti_vm,['Build.FINGERPRINT check']
com.halcom.ng.mobile.puppaltr.apk,classes2.dex,compiler,['dx']
com.yubico.yubiclip.apk,classes.dex,compiler,['r8 without marker (suspicious)']
org.arcon.arcos.otp1.apk,classes.dex,compiler,['dx (possible dexmerge)']
org.arcon.arcos.otp1.apk,classes.dex,manipulator,['dexmerge']
ru.yandex.key.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
ru.yandex.key.apk,classes.dex,compiler,['dx']
com.vietinbank.softotp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.vietinbank.softotp.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
com.vietinbank.softotp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
otl.snkl.SnorkelOTP.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
otl.snkl.SnorkelOTP.apk,classes.dex,compiler,['dx']
de.sbeh.rdp_otp.apk,classes.dex,compiler,['r8']
cy.com.netinfo.crdbotp.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
cy.com.netinfo.crdbotp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
hr.asseco.android.otp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
hr.asseco.android.otp.apk,classes.dex,compiler,['dx']
com.GlowOTP.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.GlowOTP.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.aff.otpdirekt.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'possible VM check']"
com.aff.otpdirekt.apk,classes.dex,compiler,['r8']
com.aff.otpdirekt.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible ro.secure check', 'possible VM check']"
com.aff.otpdirekt.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.zenithbank.zenithetoken.apk,classes.dex,anti_vm,['Build.FINGERPRINT check']
com.zenithbank.zenithetoken.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.CIBEgyptSecureToken.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.CIBEgyptSecureToken.apk,classes.dex,compiler,['r8']
com.goldtime.authy.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.goldtime.authy.apk,classes.dex,compiler,['unknown (please file detection issue!)']
vn.tpb.token.baseotp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
vn.tpb.token.baseotp.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible ro.secure check']"
vn.tpb.token.baseotp.apk,classes.dex,compiler,['r8']
com.BankMisrSoftToken.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.BankMisrSoftToken.apk,classes.dex,compiler,['r8']
com.sitin.sitinotp.apk,classes.dex,compiler,['r8']
com.protectimus.totpburner.nfc.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.protectimus.totpburner.nfc.apk,classes.dex,compiler,['r8']
com.protectimus.totpburner.nfc.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
com.protectimus.totpburner.nfc.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.sgn.sgotp.lotte.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.sgn.sgotp.lotte.apk,classes.dex,manipulator,['dexmerge']
oracle.idm.mobile.authenticator.apk,classes.dex,anti_vm,['network operator name check']
oracle.idm.mobile.authenticator.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.sgn.secureguardotp.apk,classes.dex,compiler,['r8']
com.dreammirae.anyauth.android.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.dreammirae.anyauth.android.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible ro.secure check']"
com.dreammirae.anyauth.android.apk,classes.dex,compiler,['r8']
dev.cat.coffee.authenticator.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check']"
dev.cat.coffee.authenticator.apk,classes.dex,compiler,['r8']
dev.cat.coffee.authenticator.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
dev.cat.coffee.authenticator.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.google.android.apps.authenticator2.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.google.android.apps.authenticator2.apk,classes.dex,compiler,['r8']
com.LuxTrustMobile.apk,,obfuscator,['Obfuscator-LLVM version 3.5']
com.LuxTrustMobile.apk,lib/arm64-v8a/liboehadnbnoemb.so,obfuscator,['Obfuscator-LLVM version 3.5']
com.LuxTrustMobile.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check', 'possible VM check']"
com.LuxTrustMobile.apk,classes.dex,compiler,['dexlib 2.x']
com.LuxTrustMobile.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.LuxTrustMobile.apk,lib/armeabi-v7a/liboehadnbnoemb.so,obfuscator,['Obfuscator-LLVM version 3.5']
com.LuxTrustMobile.apk,classes4.dex,compiler,['dexlib 2.x']
com.LuxTrustMobile.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.LuxTrustMobile.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
com.LuxTrustMobile.apk,classes2.dex,compiler,['dexlib 2.x']
com.LuxTrustMobile.apk,classes3.dex,compiler,['dexlib 2.x']
sg.worktable.pingoauth.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
sg.worktable.pingoauth.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
sg.worktable.pingoauth.apk,classes.dex,compiler,['r8']
vn.com.sacombank.msign.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.TAGS check']"
vn.com.sacombank.msign.apk,classes.dex,compiler,['dx']
com.kiwoom.unitycert.apk,,packer,['AppSuit']
com.kiwoom.unitycert.apk,classes.dex,anti_vm,['possible VM check']
com.kiwoom.unitycert.apk,classes.dex,compiler,['dexlib 2.x']
com.kiwoom.unitycert.apk,classes.dex,obfuscator,"['AppSuit', 'unreadable field names', 'unreadable method names']"
com.kiwoom.unitycert.apk,lib/armeabi-v7a/libAppSuit.so,anti_vm,['emulator file check']
com.kiwoom.unitycert.apk,lib/arm64-v8a/libAppSuit.so,anti_vm,['emulator file check']
com.techcombank.stk.corp.apk,,obfuscator,['Gemalto']
com.techcombank.stk.corp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.techcombank.stk.corp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'subscriber ID check']"
com.techcombank.stk.corp.apk,classes.dex,compiler,['r8']
com.techcombank.stk.corp.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
eu.netinfo.cdb.otp.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
eu.netinfo.cdb.otp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.bitrixsoft.otp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.bitrixsoft.otp.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.bitrixsoft.otp.apk,classes.dex,manipulator,['dexmerge']
org.juanjcsr.newcloudotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'possible Build.SERIAL check']"
org.juanjcsr.newcloudotp.apk,classes.dex,compiler,['dx']
com.square_enix_software_token.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.square_enix_software_token.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.trumotp.club.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check', 'possible VM check']"
com.trumotp.club.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.trumotp.club.apk,classes.dex,manipulator,['dexmerge']
com.gemalto.idprove.apk,classes.dex,anti_vm,"['possible Build.SERIAL check', 'Build.TAGS check', 'subscriber ID check']"
com.gemalto.idprove.apk,classes.dex,compiler,['dx']
com.ncb.bank.otp.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'Build.TAGS check', 'possible ro.secure check']"
com.ncb.bank.otp.apk,classes.dex,compiler,['r8']
org.cry.otp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
org.cry.otp.apk,classes.dex,compiler,['r8']
me.jmh.authenticatorpro.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible VM check']"
me.jmh.authenticatorpro.apk,classes.dex,compiler,['unknown (please file detection issue!)']
wibmo.com.wibmoAuthApp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
wibmo.com.wibmoAuthApp.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible ro.secure check', 'possible VM check']"
wibmo.com.wibmoAuthApp.apk,classes.dex,compiler,['dx']
vn.com.bidv.softotp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
vn.com.bidv.softotp.apk,classes.dex,anti_disassembly,['illegal class name']
vn.com.bidv.softotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
vn.com.bidv.softotp.apk,classes.dex,compiler,['dx']
vn.com.bidv.softotp.apk,classes.dex,obfuscator,['DexGuard']
it.company.sielte.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'Build.HARDWARE check', 'possible VM check']"
it.company.sielte.apk,classes.dex,compiler,['r8']
com.u2fa.secur.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.u2fa.secur.apk,classes.dex,compiler,['unknown (please file detection issue!)']
eu.sia.siaotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
eu.sia.siaotp.apk,classes.dex,compiler,['dx']
br.gov.caixa.codigocaixa.apk,classes.dex,compiler,['r8 without marker (suspicious)']
nh.smart.signone.apk,classes3.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'SIM operator check', 'network operator name check', 'subscriber ID check']"
nh.smart.signone.apk,classes3.dex,compiler,['dexlib 2.x']
nh.smart.signone.apk,classes3.dex,obfuscator,['unreadable field names']
nh.smart.signone.apk,classes2.dex,compiler,['dexlib 2.x']
nh.smart.signone.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
nh.smart.signone.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'subscriber ID check', 'possible VM check']"
nh.smart.signone.apk,classes.dex,compiler,['dexlib 2.x']
nh.smart.signone.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.isprint.SWIFTToken.apk,classes.dex,compiler,['dx']
com.isprint.SWIFTToken.apk,lib/armeabi/libmap.so,anti_vm,['emulator file check']
com.dxc.ipwr.apk,classes.dex,compiler,['dx']
com.vn.vib.smeotp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.vn.vib.smeotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.vn.vib.smeotp.apk,classes.dex,compiler,['unknown (please file detection issue!)']
org.fedorahosted.freeotp.apk,classes.dex,compiler,['dx (possible dexmerge)']
org.fedorahosted.freeotp.apk,classes.dex,manipulator,['dexmerge']
sk.otp.viamo.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
sk.otp.viamo.apk,classes.dex,compiler,['r8']
com.sbi.SBISecure.apk,,packer,['Kony']
com.sbi.SBISecure.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check', 'possible ro.secure check']"
com.sbi.SBISecure.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.sbi.SBISecure.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.sbi.SBISecure.apk,lib/armeabi-v7a/libkonyjsvm.so,obfuscator,['Arxan']
com.yubico.yubioath.apk,classes.dex,compiler,['unknown (please file detection issue!)']
